source_group,series,controller,seed,steps,brownout_steps,unserved_energy_mwh,surplus_energy_mwh,co2_kg,renewable_share_of_demand,peak_deficit_mw,max_frequency_deviation_hz,ticks_outside_freq_dead_band,total_cost_eur,market_revenue_eur,net_eur,lcoe_eur_per_mwh,reproducibility_hash,metrics_path,csv_path,endstate_path
codex_operator,round_02_codex_r2,codex_r2,67,96,62,327.6578386761698,6.5011575416742575,26621.25,0.5693353972920632,118.81375530620882,0.5940687765310457,14,2480670.0769831883,415568.3884005765,-2065101.6885826117,554.6701517076804,bb21818a558da6a9,03_codex_operator\round_02_codex_r2\seed_67\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_67\codex_r2.csv,
codex_operator,round_02_codex_r2,codex_r2,73,96,57,265.6206698799431,17.674099911041523,26651.890319730548,0.584608215958965,102.80263054539208,0.5140131527269602,12,2047117.2271905812,421461.91943621804,-1625655.3077543632,450.35693403534225,8793a8d959ed4a72,03_codex_operator\round_02_codex_r2\seed_73\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_73\codex_r2.csv,
codex_operator,round_02_codex_r2,codex_r2,88,96,54,299.42105478910844,4.344971711816204,26632.380180943685,0.5747330482870183,111.35740880013323,0.5567870440006644,13,2283273.656236357,418250.88286984747,-1865022.7733665095,507.5240510903446,db48cd96a91d6bd9,03_codex_operator\round_02_codex_r2\seed_88\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_88\codex_r2.csv,
codex_operator,round_02_codex_r2,codex_r2,99,96,57,289.76257297075335,9.941920668251633,26634.39482356663,0.5778219221723916,122.62028832299582,0.6131014416149796,13,2215719.6560591655,419168.4386425911,-1796551.2174165742,490.74246638198645,9c8f645f407b7931,03_codex_operator\round_02_codex_r2\seed_99\codex_r2.metrics.json,03_codex_operator\round_02_codex_r2\seed_99\codex_r2.csv,
codex_operator,round_03_codex_r3,codex_r3,3,96,51,315.49721426455295,7.175358975715704,26614.46940793371,0.5721846991771989,103.17102830653675,0.5158551415326826,14,2395389.1761340206,416723.6477196802,-1978665.5284143402,534.0689206285942,57195dae76ec1938,03_codex_operator\round_03_codex_r3\seed_03\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_03\codex_r3.csv,
codex_operator,round_03_codex_r3,codex_r3,5,96,62,258.5002628053985,5.1800101226804,26637.828945614277,0.5834871784362116,100.71491803944294,0.5035745901972177,13,1996949.7708472952,422138.35810829984,-1574811.4127389954,439.8402841111536,7126d819710984e5,03_codex_operator\round_03_codex_r3\seed_05\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_05\codex_r3.csv,
codex_operator,round_03_codex_r3,codex_r3,7,96,57,316.6667304260729,15.9583890247216,26608.759553161388,0.5733631179750865,113.85522831666088,0.5692761415833019,14,2403443.9772672406,416612.5436843357,-1986831.433582905,534.9567135038418,1195b4196bd5a088,03_codex_operator\round_03_codex_r3\seed_07\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_07\codex_r3.csv,
codex_operator,round_03_codex_r3,codex_r3,13,96,66,322.6289135653826,10.588126449340258,26602.5,0.5712371208943621,114.7547078182267,0.5737735390911354,14,2445034.757457678,416046.1362861015,-2028988.6211715767,545.5901359841923,676e473dab0a8b17,03_codex_operator\round_03_codex_r3\seed_13\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_13\codex_r3.csv,
codex_operator,round_03_codex_r3,codex_r3,17,96,56,327.89925702151214,16.843566812667703,26602.5,0.5714426281145181,102.03587871670322,0.5101793935835133,14,2481927.161650585,415545.4536577691,-2066381.7079928159,553.7006711267999,4d5e344dadf71606,03_codex_operator\round_03_codex_r3\seed_17\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_17\codex_r3.csv,
codex_operator,round_03_codex_r3,codex_r3,19,96,58,286.64760508443703,3.767194489174711,26621.25,0.5771801103706841,106.82345600570093,0.5341172800285037,13,2193611.7823603726,419464.3605917911,-1774147.4217685815,486.17147637549607,bdddf93852d78d3e,03_codex_operator\round_03_codex_r3\seed_19\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_19\codex_r3.csv,
codex_operator,round_03_codex_r3,codex_r3,23,96,60,347.2007871875649,8.713398183393302,26602.500000000004,0.5657199300506064,112.99850729743925,0.5649925364871962,15,2617037.8728129542,413711.8082919941,-2203326.06452096,587.4379452656331,97e412b0079b530b,03_codex_operator\round_03_codex_r3\seed_23\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_23\codex_r3.csv,
codex_operator,round_03_codex_r3,codex_r3,31,96,51,252.1538872909263,12.096871811919609,26640.000000000004,0.586254105210714,93.89543661801206,0.4694771830900635,12,1952575.261036484,422741.26378217473,-1529833.9972543092,428.8138320903671,8cf57d922b9acf9d,03_codex_operator\round_03_codex_r3\seed_31\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_31\codex_r3.csv,
codex_operator,round_03_codex_r3,codex_r3,41,96,56,279.5880033145702,5.052850005164023,26628.085856856243,0.5790296633056646,93.52505709373152,0.46762528546865667,13,2144342.0410078764,420135.02275992854,-1724207.0182479478,474.48844839532666,61f72d4251d6e922,03_codex_operator\round_03_codex_r3\seed_41\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_41\codex_r3.csv,
codex_operator,round_03_codex_r3,codex_r3,42,96,58,303.08344857217133,14.407562054890958,26621.25,0.5758321622853491,97.10884218835804,0.48554421094178934,14,2308649.346255199,417902.9554604564,-1890746.3907947426,512.4848734280665,a3323c100d32ea1e,03_codex_operator\round_03_codex_r3\seed_42\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_42\codex_r3.csv,
codex_operator,round_03_codex_r3,codex_r3,55,96,49,307.826501114477,14.865809723522155,26621.250000000004,0.5752175388655525,105.46886398146705,0.5273443199073355,14,2341850.7140513393,417452.36546893726,-1924398.348582402,520.350006422703,a22fdd887de479dc,03_codex_operator\round_03_codex_r3\seed_55\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_55\codex_r3.csv,
codex_operator,round_03_codex_r3,codex_r3,67,96,62,327.6578386761697,6.5011575416742575,26606.616668644856,0.5693353972920632,100.49527294000072,0.5024763647000015,15,2480332.2665288546,415568.3884005766,-2064763.878128278,554.5946183355918,4644fb688a3ef6a1,03_codex_operator\round_03_codex_r3\seed_67\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_67\codex_r3.csv,
codex_operator,round_03_codex_r3,codex_r3,73,96,58,265.6206698799431,17.674099911041523,26629.00348519872,0.584608215958965,87.76274052592026,0.4388137026296022,12,2046588.8846154138,421461.91943621804,-1625126.9651791959,450.24070095444574,3df6462ece7cf316,03_codex_operator\round_03_codex_r3\seed_73\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_73\codex_r3.csv,
codex_operator,round_03_codex_r3,codex_r3,88,96,55,299.4210547891082,4.344971711816199,26621.250000000004,0.5747330482870183,109.15484915213514,0.5457742457606756,13,2283016.716009271,418250.8828698474,-1864765.8331394235,507.4669386436684,db9ae4c9df15e15c,03_codex_operator\round_03_codex_r3\seed_88\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_88\codex_r3.csv,
codex_operator,round_03_codex_r3,codex_r3,99,96,58,289.7625729707533,9.941920668251628,26621.25,0.5778219221723916,106.30128653129611,0.531506432656478,13,2215416.2078071292,419168.4386425911,-1796247.769164538,490.67525799521405,48552262d946c3c9,03_codex_operator\round_03_codex_r3\seed_99\codex_r3.metrics.json,03_codex_operator\round_03_codex_r3\seed_99\codex_r3.csv,
